117.94810	NaN	16922	15788	-0.63007	-1.59044	
115.54695	NaN	16936	15811	-0.29282	-1.06005	
113.14716	NaN	16914	15779	-0.80879	-1.80663	
110.74783	NaN	16922	15799	-0.61854	-1.33966	
108.34856	NaN	16915	15793	-0.79438	-1.48667	
105.94810	NaN	16911	15790	-0.88374	-1.54432	
103.54722	NaN	16917	15810	-0.73961	-1.09464	
101.14738	NaN	16911	15800	-0.86644	-1.31660	
98.74782	NaN	16915	15817	-0.77996	-0.94187	
96.34833	NaN	16907	15817	-0.95868	-0.93899	
93.94815	NaN	16907	15813	-0.96156	-1.03123	
91.54741	NaN	16910	15829	-0.90103	-0.65650	
89.14748	NaN	16900	15813	-1.12587	-1.01393	
86.74768	NaN	16909	15821	-0.92409	-0.83233	
84.34811	NaN	16900	15822	-1.12587	-0.81792	
81.94798	NaN	16904	15816	-1.03939	-0.96493	
79.54726	NaN	16910	15822	-0.89527	-0.81792	
77.14743	NaN	16893	15807	-1.29882	-1.17247	
74.74769	NaN	16896	15798	-1.22676	-1.37425	
72.34803	NaN	16902	15809	-1.08263	-1.11194	
69.94801	NaN	16901	15802	-1.11434	-1.28489	
67.54723	NaN	16915	15804	-0.79438	-1.23877	
65.14732	NaN	16896	15794	-1.22676	-1.47226	
62.74735	NaN	16922	15802	-0.61566	-1.26760	
60.34814	NaN	16909	15788	-0.93274	-1.59620	
57.94812	NaN	16907	15787	-0.95868	-1.61927	
55.54742	NaN	16941	15801	-0.17752	-1.30219	
53.14747	NaN	16919	15787	-0.69061	-1.63080	
50.74748	NaN	16924	15780	-0.57531	-1.78357	
48.34787	NaN	16935	15780	-0.33317	-1.77780	
45.94793	NaN	16926	15779	-0.53783	-1.80086	
43.54744	NaN	16946	15789	-0.07663	-1.58467	
41.14737	NaN	16932	15774	-0.39947	-1.93058	
38.74763	NaN	16950	15796	0.01561	-1.42614	
36.34812	NaN	16949	15783	0.00120	-1.72592	
33.94782	NaN	16936	15780	-0.30435	-1.79222	
31.54743	NaN	16953	15799	0.09921	-1.34254	
29.14757	NaN	16929	15770	-0.45712	-2.02282	
26.74776	NaN	16940	15795	-0.20922	-1.43478	
24.34792	NaN	16940	15796	-0.20922	-1.41749	
21.94752	NaN	16937	15798	-0.28705	-1.37137	
19.54741	NaN	16945	15820	-0.08239	-0.87269	
17.14776	NaN	16938	15807	-0.24670	-1.16383	
14.74791	NaN	16938	15822	-0.24381	-0.81792	
12.34789	NaN	16936	15823	-0.30435	-0.78333	
9.94739	NaN	16929	15813	-0.45424	-1.02258	
7.54738	NaN	16935	15839	-0.32453	-0.41725	
5.14752	NaN	16917	15813	-0.74537	-1.01682	
2.74803	NaN	16916	15820	-0.75402	-0.86116	
0.34808	NaN	16907	15822	-0.96733	-0.81216	
-2.05241	NaN	16909	15818	-0.93274	-0.90728	
-4.45242	NaN	16921	15844	-0.64449	-0.29907	
-6.85228	NaN	16897	15819	-1.18928	-0.87557	
-9.25179	NaN	16910	15824	-0.89238	-0.76315	
-11.65204	NaN	16899	15827	-1.14316	-0.70550	
-14.05265	NaN	16898	15819	-1.16911	-0.88422	
-16.45250	NaN	16907	15821	-0.97309	-0.84098	
-18.85225	NaN	16895	15819	-1.24693	-0.89287	
-21.25183	NaN	16920	15829	-0.65890	-0.64497	
-23.65194	NaN	16905	15816	-1.01345	-0.95628	
-26.05273	NaN	16902	15812	-1.08551	-1.05429	
-28.45244	NaN	16929	15821	-0.46000	-0.84675	
-30.85237	NaN	16900	15801	-1.12010	-1.30507	
-33.25166	NaN	16915	15800	-0.78861	-1.32525	
-35.65163	NaN	16921	15798	-0.64737	-1.36560	
-38.05277	NaN	16918	15803	-0.72231	-1.24454	
-40.45275	NaN	16939	15805	-0.23228	-1.20995	
-42.85245	NaN	16909	15780	-0.92121	-1.78933	
-45.25130	NaN	16932	15800	-0.38218	-1.33101	
-47.65145	NaN	16934	15792	-0.33606	-1.51838	
-50.05283	NaN	16924	15793	-0.56666	-1.47514	
-52.45297	NaN	16945	15806	-0.08816	-1.17536	
