77.26416	1.03012824	21195	20403	101.18536	101.41531	77.34370	0.65636438	21074	20294	98.38931	98.89310	
76.31117	1.02261543	21202	20381	101.34679	100.90798	76.39374	0.64613926	21085	20276	98.64586	98.47224	
75.36369	1.02069700	21130	20309	99.68068	99.24765	75.44198	0.63304693	20959	20155	95.74892	95.69637	
74.41418	1.02847350	21182	20385	100.88270	100.99734	74.49479	0.65526986	21054	20267	97.92522	98.26183	
73.45973	0.98546588	21135	20305	99.79598	99.14964	73.54335	0.62376732	21036	20216	97.51302	97.10304	
72.51329	0.99935269	21048	20231	97.79263	97.44030	72.59241	0.61934370	20898	20100	94.33360	94.42518	
71.56355	1.01521754	21122	20311	99.49332	99.27936	71.64452	0.62338722	21004	20206	96.77509	96.85803	
70.61024	0.97594732	21018	20184	97.10658	96.34782	70.69370	0.62087238	20933	20112	95.14070	94.68460	
69.66386	0.98985481	20967	20158	95.93916	95.75690	69.74291	0.61572206	20872	20081	93.72826	93.98127	
68.71214	0.97461796	21015	20195	97.04605	96.59860	68.79418	0.60749543	20930	20126	95.07729	95.01898	
67.75993	0.94870430	20925	20087	94.96198	94.11674	67.84367	0.60094559	20795	19976	91.95839	91.55706	
66.81271	0.97663224	20916	20113	94.75156	94.71055	66.89404	0.61174899	20830	20048	92.77126	93.21163	
65.86162	0.95467228	20884	20062	94.02228	93.53736	65.94376	0.58599979	20811	20000	92.33600	92.10762	
64.91057	0.93679929	20799	19966	92.06504	91.31781	64.99422	0.58906853	20654	19843	88.70402	88.49005	
63.96251	0.95533162	20843	20041	93.07970	93.05021	64.04513	0.60115492	20744	19958	90.77943	91.14486	
63.01155	0.92493594	20783	19951	91.69608	90.98920	63.09346	0.56626916	20676	19862	89.22864	88.93684	
62.06099	0.91015977	20712	19891	90.04727	89.59982	62.14370	0.56453264	20581	19784	87.02350	87.12085	
61.11107	0.92966521	20752	19941	90.96392	90.75860	61.19496	0.56860352	20631	19841	88.17075	88.43528	
60.16155	0.90691793	20691	19853	89.57166	88.72065	60.24292	0.53978080	20541	19722	86.10974	85.70553	
